package_name,source,download_link,owner,repository,sub,date_added_to_list,skip,comments,Pre-processing-GLS-threshold,Pre-processing-GLS-curve-fitting,Pre-processing-Twilight-free,Pre-processing-Triang,Pre-processing-GLS-DR,Pre-processing-Other,Post-processing-cleaning,Post-processing-compression,Post-processing-metrics,Visualization,Track-description,Path-reconstruction,Behav-clustering,Behav-segment,Behav-HMM,Space-HR,Space-HU,Space-non-convent,Simulation,Interactions,Similarity,Population-size,Environm,DB,Biologg,Non-biologg
accelerometry,cran,,,,,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
adehabitatHR,cran,,,,,2020-01-01,,,,,,,,,,,,,,,,,,T,,,,,,,,,,
adehabitatLT,cran,,,,,2020-01-01,,,,,,,,,,T,T,,,,,T,,,,,T,,,,,,,
amt,cran,,,,,2020-01-01,,,,,,,,,,T,T,,T,,,,,T,T,,,,,,,,,
anipaths,cran,,,,,2020-01-01,,,,,,,,,,,,T,,,,,,,,,,,,,,,,
bsam,cran,,,,,2020-01-01,,,,,,,,,,,,,,T,,,T,,,,T,,,,,,,
crawl,cran,,,,,2020-01-01,,,,,,,,,,,,,,T,,,,,,,T,,,,,,,
ctmcmove,cran,,,,,2020-01-01,,,,,,,,,,,,,,T,,,,,T,,,,,,,,,
ctmm,cran,,,,,2020-01-01,,,,,,,,,,,,,,T,,,,T,,,T,,,,,,,
diveMove,cran,,,,,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
EMbC,cran,,,,,2020-01-01,,,,,,,,,,,,,,,T,,,,,,,,,,,,,
FLightR,cran,,,,,2020-01-01,,,,T,,,,,,,,,,,,,,,,,,,,,,,,
GeoLight,cran,,,,,2020-01-01,,,T,,,,,,,,,,,,,,,,,,,,,,,,,
GGIR,cran,,,,,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,T,
HMMoce,cran,,,,,2020-01-01,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
